,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
19,-4,446,469,2342.18,2344.18,,,-11.749088,3.7490879999999995,-0.00125407611712155,2024-04-08 08:00:00+00:00,2024-04-09 08:00:00+00:00,1 days 00:00:00,
20,4,469,492,2344.18,2356.21,,,44.3596880000008,3.760312,0.004730832103336941,2024-04-09 08:00:00+00:00,2024-04-10 08:00:00+00:00,1 days 00:00:00,
21,4,492,515,2356.21,2342.94,,,-56.83931999999993,3.7593200000000007,-0.0060307994618475904,2024-04-10 08:00:00+00:00,2024-04-11 08:00:00+00:00,1 days 00:00:00,
22,4,515,538,2342.94,2384.11,,,160.89836000000028,3.7816400000000003,0.017168425141062166,2024-04-11 08:00:00+00:00,2024-04-12 08:00:00+00:00,1 days 00:00:00,
23,-4,538,561,2384.11,2356.61,,,106.207424,3.7925760000000004,0.011137009617844845,2024-04-12 08:00:00+00:00,2024-04-15 08:00:00+00:00,3 days 00:00:00,
24,-4,561,584,2356.61,2386.1,,,-121.75416799999913,3.794168,-0.012916240701685757,2024-04-15 08:00:00+00:00,2024-04-16 08:00:00+00:00,1 days 00:00:00,
25,4,584,607,2386.1,2381.91,,,-20.57440800000022,3.814408,-0.0021556523196848824,2024-04-16 08:00:00+00:00,2024-04-17 08:00:00+00:00,1 days 00:00:00,
26,4,607,630,2381.91,2375.2,,,-30.645688000000145,3.805688,-0.0032165035622672864,2024-04-17 08:00:00+00:00,2024-04-18 08:00:00+00:00,1 days 00:00:00,
27,4,630,653,2375.2,2383.52,,,29.473024000000656,3.8069759999999997,0.0031021623442236534,2024-04-18 08:00:00+00:00,2024-04-19 08:00:00+00:00,1 days 00:00:00,
28,4,653,676,2383.52,2369.72,,,-59.002592000000725,3.8025919999999998,-0.006188598375511896,2024-04-19 08:00:00+00:00,2024-04-22 08:00:00+00:00,3 days 00:00:00,
29,4,676,699,2369.72,2305.47,,,-260.740152,3.740152,-0.027507485272521663,2024-04-22 08:00:00+00:00,2024-04-23 08:00:00+00:00,1 days 00:00:00,
30,4,699,722,2305.47,2326.65,,,81.01430400000116,3.705696,0.00878500956421045,2024-04-23 08:00:00+00:00,2024-04-24 08:00:00+00:00,1 days 00:00:00,
31,-4,722,745,2326.65,2315.27,,,41.80646400000044,3.7135360000000004,0.004492130745922245,2024-04-24 08:00:00+00:00,2024-04-25 08:00:00+00:00,1 days 00:00:00,
32,-4,745,768,2315.27,2335.77,,,-85.720832,3.720832,-0.009256029750309794,2024-04-25 08:00:00+00:00,2024-04-26 08:00:00+00:00,1 days 00:00:00,
33,-4,768,791,2335.77,2332.57,,,9.065327999999273,3.734672,0.0009702719017710497,2024-04-26 08:00:00+00:00,2024-04-29 08:00:00+00:00,3 days 00:00:00,
34,-4,791,814,2332.57,2326.39,,,20.992832000001165,3.727168,0.0022499680609800667,2024-04-29 08:00:00+00:00,2024-04-30 08:00:00+00:00,1 days 00:00:00,
35,-4,814,837,2326.39,2283.14,,,169.312376,3.6876239999999996,0.018194754103998016,2024-04-30 08:00:00+00:00,2024-05-01 08:00:00+00:00,1 days 00:00:00,
36,-4,837,860,2283.14,2318.21,,,-143.96108000000066,3.68108,-0.015763496763229565,2024-05-01 08:00:00+00:00,2024-05-02 08:00:00+00:00,1 days 00:00:00,
37,4,860,883,2318.21,2307.43,,,-46.820512000000804,3.7005120000000002,-0.005049209519413719,2024-05-02 08:00:00+00:00,2024-05-03 08:00:00+00:00,1 days 00:00:00,
38,4,883,906,2307.43,2309.13,,,3.106752000001091,3.6932480000000005,0.00033660306054802313,2024-05-03 08:00:00+00:00,2024-05-06 08:00:00+00:00,3 days 00:00:00,
39,4,906,929,2309.13,2322.61,,,50.21460800000007,3.7053920000000007,0.0054365289091562055,2024-05-06 08:00:00+00:00,2024-05-07 08:00:00+00:00,1 days 00:00:00,
40,-4,929,952,2322.61,2319.25,,,9.72651200000051,3.7134880000000003,0.0010469377123150546,2024-05-07 08:00:00+00:00,2024-05-08 08:00:00+00:00,1 days 00:00:00,
41,4,952,975,2319.25,2314.49,,,-22.746992000000873,3.706992,-0.002451977147784953,2024-05-08 08:00:00+00:00,2024-05-09 08:00:00+00:00,1 days 00:00:00,
42,4,975,998,2314.49,2353.93,,,154.02526400000022,3.734736,0.016637063024683603,2024-05-09 08:00:00+00:00,2024-05-10 08:00:00+00:00,1 days 00:00:00,
43,4,998,1021,2353.93,2354.29,,,-2.3265759999994904,3.7665759999999997,-0.00024709485838579,2024-05-10 08:00:00+00:00,2024-05-13 08:00:00+00:00,3 days 00:00:00,
44,-4,1021,1044,2354.29,2344.06,,,37.161320000000075,3.75868,0.003946128132048358,2024-05-13 08:00:00+00:00,2024-05-14 08:00:00+00:00,1 days 00:00:00,
45,-4,1044,1067,2344.06,2357.01,,,-55.560856000001095,3.7608560000000004,-0.005925707533083782,2024-05-14 08:00:00+00:00,2024-05-15 08:00:00+00:00,1 days 00:00:00,
46,4,1067,1090,2357.01,2391.36,,,133.60130399999963,3.7986960000000005,0.014170633981188011,2024-05-15 08:00:00+00:00,2024-05-16 08:00:00+00:00,1 days 00:00:00,
47,-4,1090,1113,2391.36,2378.91,,,45.983784000001094,3.816216,0.004807283721397159,2024-05-16 08:00:00+00:00,2024-05-17 08:00:00+00:00,1 days 00:00:00,
48,-4,1113,1136,2378.91,2437.36,,,-237.6530160000011,3.853016,-0.02497499022661658,2024-05-17 08:00:00+00:00,2024-05-20 08:00:00+00:00,3 days 00:00:00,
49,4,1136,1159,2437.36,2412.46,,,-103.47985600000037,3.879856,-0.010613928184593209,2024-05-20 08:00:00+00:00,2024-05-21 08:00:00+00:00,1 days 00:00:00,
50,4,1159,1182,2412.46,2412.88,,,-2.180271999999709,3.860272,-0.00022593866841318094,2024-05-21 08:00:00+00:00,2024-05-22 08:00:00+00:00,1 days 00:00:00,
51,4,1182,1205,2412.88,2372.82,,,-164.0685599999998,3.8285600000000004,-0.01699924571466465,2024-05-22 08:00:00+00:00,2024-05-23 08:00:00+00:00,1 days 00:00:00,
52,4,1205,1228,2372.82,2335.04,,,-154.8862880000008,3.7662880000000003,-0.016318798728938697,2024-05-23 08:00:00+00:00,2024-05-24 08:00:00+00:00,1 days 00:00:00,
53,-4,1228,1251,2335.04,2342.96,,,-35.422400000000295,3.7424,-0.0037924832122791167,2024-05-24 08:00:00+00:00,2024-05-27 08:00:00+00:00,3 days 00:00:00,
54,-4,1251,1272,2342.96,2351.02,,,-35.99518399999978,3.755184,-0.003840780892546084,2024-05-27 08:00:00+00:00,2024-05-28 08:00:00+00:00,1 days 00:00:00,
55,3,1272,1295,2351.02,2358.36,,,19.194372000000435,2.825628,0.002721424743303006,2024-05-28 08:00:00+00:00,2024-05-29 08:00:00+00:00,1 days 00:00:00,
56,-3,1295,1318,2358.36,2335.26,,,66.48382799999973,2.8161720000000003,0.009396901236452414,2024-05-29 08:00:00+00:00,2024-05-30 08:00:00+00:00,1 days 00:00:00,
57,-4,1318,1341,2335.26,2344.16,,,-39.343535999998544,3.743536,-0.004211901030291984,2024-05-30 08:00:00+00:00,2024-05-31 08:00:00+00:00,1 days 00:00:00,
58,4,1341,1364,2344.16,2321.41,,,-94.732456,3.732456,-0.010103027950310515,2024-05-31 08:00:00+00:00,2024-06-03 08:00:00+00:00,3 days 00:00:00,
59,-4,1364,1387,2321.41,2349.37,,,-115.57662400000015,3.736624,-0.012446812928349545,2024-06-03 08:00:00+00:00,2024-06-04 08:00:00+00:00,1 days 00:00:00,
60,-3,1387,1410,2349.37,2338.06,,,31.117541999999837,2.8124580000000003,0.00441501934561175,2024-06-04 08:00:00+00:00,2024-06-05 08:00:00+00:00,1 days 00:00:00,
61,3,1410,1433,2338.06,2369.48,,,91.43547600000022,2.8245240000000003,0.013035804042667987,2024-06-05 08:00:00+00:00,2024-06-06 08:00:00+00:00,1 days 00:00:00,
62,3,1433,1456,2369.48,2386.59,,,48.47635800000038,2.8536420000000002,0.006819549437007438,2024-06-06 08:00:00+00:00,2024-06-07 08:00:00+00:00,1 days 00:00:00,
63,3,1456,1479,2386.59,2294.84,,,-278.058858,2.8088580000000003,-0.03883628356776828,2024-06-07 08:00:00+00:00,2024-06-10 08:00:00+00:00,3 days 00:00:00,
64,3,1479,1502,2294.84,2303.6,,,23.520935999999292,2.759064,0.0034164961391643725,2024-06-10 08:00:00+00:00,2024-06-11 08:00:00+00:00,1 days 00:00:00,
65,-3,1502,1525,2303.6,2312.76,,,-30.249816000000926,2.769816,-0.004377180065983761,2024-06-11 08:00:00+00:00,2024-06-12 08:00:00+00:00,1 days 00:00:00,
66,3,1525,1548,2312.76,2311.88,,,-5.414784000000328,2.7747840000000004,-0.0007804216606997908,2024-06-12 08:00:00+00:00,2024-06-13 08:00:00+00:00,1 days 00:00:00,
67,-3,1548,1571,2311.88,2305.94,,,15.049308000000163,2.7706920000000004,0.0021698513763690045,2024-06-13 08:00:00+00:00,2024-06-14 08:00:00+00:00,1 days 00:00:00,
